455	 402	 922	 234	 724	 425	 788
Jack (1996)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 Jack (1996)	 Jack (1996)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 It Happened One Night (1934)
Cinema Paradiso (1988)	 Spawn (1997)	 Supercop (1992)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)
Supercop (1992)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 English Patient, The (1996)	 Supercop (1992)	 English Patient, The (1996)
It Happened One Night (1934)	 Supercop (1992)	 Spawn (1997)	 Supercop (1992)	 Supercop (1992)	 Legends of the Fall (1994)	 Spawn (1997)
2001: A Space Odyssey (1968)	 English Patient, The (1996)	 Clockwork Orange, A (1971)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 2001: A Space Odyssey (1968)

304	 344	 626	 123	 882	 549	 456
Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)
Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Jack (1996)	 Maltese Falcon, The (1941)
Haunted World of Edward D. Wood Jr., The (1995)	 Jack (1996)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Jack (1996)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)
Jack (1996)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 Supercop (1992)	 Haunted World of Edward D. Wood Jr., The (1995)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)
Brazil (1985)	 Mighty Aphrodite (1995)	 Heat (1995)	 Local Hero (1983)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Legends of the Fall (1994)
Snow White and the Seven Dwarfs (1937)	 Haunted World of Edward D. Wood Jr., The (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 Brazil (1985)	 Supercop (1992)
Supercop (1992)	 Heat (1995)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)

212	 733	 683	 309	 765	 225	 280
Jack (1996)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)
Everyone Says I Love You (1996)	 Jack (1996)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Jack (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)
What's Eating Gilbert Grape (1993)	 Clockwork Orange, A (1971)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Legends of the Fall (1994)
Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Supercop (1992)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)
Supercop (1992)	 Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Clockwork Orange, A (1971)
Cinema Paradiso (1988)	 Spawn (1997)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Supercop (1992)	 Snow White and the Seven Dwarfs (1937)
It Happened One Night (1934)	 Cinema Paradiso (1988)	 Supercop (1992)	 Legends of the Fall (1994)	 Supercop (1992)	 It Happened One Night (1934)	 Heat (1995)
3 Ninjas: High Noon At Mega Mountain (1998)	 Supercop (1992)	 It Happened One Night (1934)	 Spawn (1997)	 Heat (1995)	 Snow White and the Seven Dwarfs (1937)	 Haunted World of Edward D. Wood Jr., The (1995)

5	 721	 174	 190	 906	 508	 653
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)
Jack (1996)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 Jack (1996)	 Legends of the Fall (1994)	 Jack (1996)
Mighty Aphrodite (1995)	 Jack (1996)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)
It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Heavy Metal (1981)	 Legends of the Fall (1994)
Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Haunted World of Edward D. Wood Jr., The (1995)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Spawn (1997)	 It Happened One Night (1934)	 Supercop (1992)	 Heat (1995)
Cinema Paradiso (1988)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 Clockwork Orange, A (1971)
Clockwork Orange, A (1971)	 It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mighty Aphrodite (1995)	 Apartment, The (1960)	 Cinema Paradiso (1988)	 It Happened One Night (1934)
3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)	 Heat (1995)	 Snow White and the Seven Dwarfs (1937)	 Harold and Maude (1971)	 Delicatessen (1991)	 Spawn (1997)

598	 685	 656	 564	 877	 378	 205
Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Heat (1995)
What's Eating Gilbert Grape (1993)	 Heat (1995)	 Supercop (1992)	 Supercop (1992)	 2001: A Space Odyssey (1968)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)
Heat (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Heat (1995)	 Heat (1995)	 2001: A Space Odyssey (1968)
Supercop (1992)	 English Patient, The (1996)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Pump Up the Volume (1990)	 Spawn (1997)	 English Patient, The (1996)
Local Hero (1983)	 2001: A Space Odyssey (1968)	 Spawn (1997)	 2001: A Space Odyssey (1968)	 Local Hero (1983)	 Clockwork Orange, A (1971)	 Legends of the Fall (1994)

448	 59	 772	 108	 343	 565	 617
Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)
Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Jack (1996)	 Jack (1996)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)
What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Spawn (1997)	 It Happened One Night (1934)	 Cinema Paradiso (1988)
Mighty Aphrodite (1995)	 Supercop (1992)	 2001: A Space Odyssey (1968)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Supercop (1992)	 It Happened One Night (1934)
Haunted World of Edward D. Wood Jr., The (1995)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Heat (1995)	 Supercop (1992)	 2001: A Space Odyssey (1968)	 Supercop (1992)
Brazil (1985)	 Clockwork Orange, A (1971)	 Heat (1995)	 2001: A Space Odyssey (1968)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)
Heat (1995)	 Spawn (1997)	 Apartment, The (1960)	 Legends of the Fall (1994)	 Clockwork Orange, A (1971)	 Pump Up the Volume (1990)	 Heat (1995)

849	 300	 319	 230	 389	 519	 200
Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)
Jack (1996)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)
Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
Legends of the Fall (1994)	 Supercop (1992)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Heat (1995)	 Legends of the Fall (1994)
Cinema Paradiso (1988)	 It Happened One Night (1934)	 Supercop (1992)	 Spawn (1997)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Heat (1995)
It Happened One Night (1934)	 Mighty Aphrodite (1995)	 English Patient, The (1996)	 It Happened One Night (1934)	 Heat (1995)	 English Patient, The (1996)	 Clockwork Orange, A (1971)
Wings of Desire (1987)	 Clockwork Orange, A (1971)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 Apartment, The (1960)	 2001: A Space Odyssey (1968)	 Mighty Aphrodite (1995)
Supercop (1992)	 Spawn (1997)	 2001: A Space Odyssey (1968)	 Legends of the Fall (1994)	 English Patient, The (1996)	 Clockwork Orange, A (1971)	 It Happened One Night (1934)

14	 522	 376	 441	 794	 19	 900
Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)
Cinema Paradiso (1988)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)
Haunted World of Edward D. Wood Jr., The (1995)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)
Brazil (1985)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Heat (1995)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Supercop (1992)	 Mighty Aphrodite (1995)
Jack (1996)	 It Happened One Night (1934)	 Harold and Maude (1971)	 It Happened One Night (1934)	 It Happened One Night (1934)	 English Patient, The (1996)	 Supercop (1992)
Supercop (1992)	 Supercop (1992)	 Supercop (1992)	 Heat (1995)	 Heat (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)
Wings of Desire (1987)	 Spawn (1997)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heat (1995)	 Pump Up the Volume (1990)

635	 236	 887	 83	 268	 480	 829
Jack (1996)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Jack (1996)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)
Mighty Aphrodite (1995)	 Supercop (1992)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Jack (1996)	 Cinema Paradiso (1988)
Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 Jack (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Supercop (1992)	 Mighty Aphrodite (1995)
It Happened One Night (1934)	 Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 Spawn (1997)	 Mighty Aphrodite (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Clockwork Orange, A (1971)
Supercop (1992)	 It Happened One Night (1934)	 Supercop (1992)	 2001: A Space Odyssey (1968)	 Supercop (1992)	 Mighty Aphrodite (1995)	 Heat (1995)
Snow White and the Seven Dwarfs (1937)	 2001: A Space Odyssey (1968)	 It Happened One Night (1934)	 Haunted World of Edward D. Wood Jr., The (1995)	 Brazil (1985)	 It Happened One Night (1934)	 It Happened One Night (1934)

232	 166	 447	 111	 224	 141	 117
Everyone Says I Love You (1996)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Jack (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Jack (1996)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)
Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)
It Happened One Night (1934)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 2001: A Space Odyssey (1968)	 Legends of the Fall (1994)
Cinema Paradiso (1988)	 Legends of the Fall (1994)	 2001: A Space Odyssey (1968)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Heat (1995)	 Mighty Aphrodite (1995)
2001: A Space Odyssey (1968)	 Annie Hall (1977)	 Cinema Paradiso (1988)	 2001: A Space Odyssey (1968)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)
3 Ninjas: High Noon At Mega Mountain (1998)	 Heat (1995)	 Supercop (1992)	 Heat (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Haunted World of Edward D. Wood Jr., The (1995)
Legends of the Fall (1994)	 Pump Up the Volume (1990)	 Legends of the Fall (1994)	 Supercop (1992)	 Heat (1995)	 Clockwork Orange, A (1971)	 Supercop (1992)

170	 507	 909	 717	 66	 943	 3
Jack (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)
Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)
Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)
Heat (1995)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)
Clockwork Orange, A (1971)	 What's Eating Gilbert Grape (1993)	 Supercop (1992)	 Clockwork Orange, A (1971)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)
Maltese Falcon, The (1941)	 Supercop (1992)	 It Happened One Night (1934)	 Supercop (1992)	 It Happened One Night (1934)	 It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)
Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 Spawn (1997)	 Legends of the Fall (1994)	 Supercop (1992)	 Heat (1995)	 It Happened One Night (1934)
It Happened One Night (1934)	 It Happened One Night (1934)	 English Patient, The (1996)	 Mighty Aphrodite (1995)	 Trainspotting (1996)	 Supercop (1992)	 Supercop (1992)

630	 432	 359	 639	 477	 757	 172
Jack (1996)	 Legends of the Fall (1994)	 Jack (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 Jack (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)
Supercop (1992)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)
Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 English Patient, The (1996)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 English Patient, The (1996)
Legends of the Fall (1994)	 Supercop (1992)	 It Happened One Night (1934)	 Heat (1995)	 Spawn (1997)	 It Happened One Night (1934)	 Heat (1995)
It Happened One Night (1934)	 It Happened One Night (1934)	 Heat (1995)	 Brazil (1985)	 Haunted World of Edward D. Wood Jr., The (1995)	 Heat (1995)	 Supercop (1992)
Heat (1995)	 Harold and Maude (1971)	 Local Hero (1983)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 2001: A Space Odyssey (1968)	 Legends of the Fall (1994)

516	 29	 248	 305	 69	 902	 795
Jack (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Jack (1996)	 What's Eating Gilbert Grape (1993)
Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)
Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)
Cinema Paradiso (1988)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Clockwork Orange, A (1971)
Supercop (1992)	 English Patient, The (1996)	 Supercop (1992)	 Supercop (1992)	 Heat (1995)	 2001: A Space Odyssey (1968)	 Spawn (1997)
It Happened One Night (1934)	 Supercop (1992)	 Pump Up the Volume (1990)	 Legends of the Fall (1994)	 2001: A Space Odyssey (1968)	 Heat (1995)	 2001: A Space Odyssey (1968)
Harold and Maude (1971)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Apartment, The (1960)	 Apartment, The (1960)	 Supercop (1992)	 Cinema Paradiso (1988)

