546	 159	 196	 91	 914
Everyone Says I Love You (1996)	 Jack (1996)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)
Cinema Paradiso (1988)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)
Supercop (1992)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Legends of the Fall (1994)
It Happened One Night (1934)	 Spawn (1997)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Supercop (1992)
Heat (1995)	 Local Hero (1983)	 Supercop (1992)	 Supercop (1992)	 It Happened One Night (1934)
Local Hero (1983)	 Apartment, The (1960)	 Harold and Maude (1971)	 2001: A Space Odyssey (1968)	 Heat (1995)

187	 852	 690	 412	 257
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Jack (1996)	 Cinema Paradiso (1988)
Jack (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
2001: A Space Odyssey (1968)	 Jack (1996)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)
Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)
Cinema Paradiso (1988)	 Haunted World of Edward D. Wood Jr., The (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Heat (1995)
It Happened One Night (1934)	 Legends of the Fall (1994)	 Brazil (1985)	 Pump Up the Volume (1990)	 Legends of the Fall (1994)
Heat (1995)	 Spawn (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Supercop (1992)	 Haunted World of Edward D. Wood Jr., The (1995)
Annie Hall (1977)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 It Happened One Night (1934)

