681	 107	 591	 57	 661	 502	 400	 383
Sleeper (1973)	 Robert A. Heinlein's The Puppet Masters (1994)	 Trainspotting (1996)	 Maltese Falcon, The (1941)	 Supercop (1992)	 Better Off Dead... (1985)	 Jack (1996)	 Legends of the Fall (1994)

488	 793	 759	 503	 276	 230	 819	 684
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Priest (1994)	 Good Will Hunting (1997)	 Legends of the Fall (1994)	 Winter Guest, The (1997)	 Supercop (1992)	 Priest (1994)
Snow White and the Seven Dwarfs (1937)	 Princess Bride, The (1987)	 Haunted World of Edward D. Wood Jr., The (1995)	 Evita (1996)	 Brazil (1985)	 Mother (1996)	 Heavy Metal (1981)	 Supercop (1992)
Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Searching for Bobby Fischer (1993)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)
Haunted World of Edward D. Wood Jr., The (1995)	 Brazil (1985)	 Apocalypse Now (1979)	 Usual Suspects, The (1995)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Full Metal Jacket (1987)	 Mighty Aphrodite (1995)
Good, The Bad and The Ugly, The (1966)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Ulee's Gold (1997)	 Priest (1994)	 Maltese Falcon, The (1941)
Heat (1995)	 Jack (1996)	 Spawn (1997)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 Trainspotting (1996)
Sleepless in Seattle (1993)	 GoodFellas (1990)	 Trainspotting (1996)	 First Wives Club, The (1996)	 Mighty Aphrodite (1995)	 Jungle2Jungle (1997)	 What's Eating Gilbert Grape (1993)	 Jack (1996)
Star Trek III: The Search for Spock (1984)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Supercop (1992)	 Cinema Paradiso (1988)	 Some Like It Hot (1959)	 Cinema Paradiso (1988)	 Spawn (1997)
3 Ninjas: High Noon At Mega Mountain (1998)	 Mighty Aphrodite (1995)	 Wings of Desire (1987)	 Priest (1994)	 It Happened One Night (1934)	 Spawn (1997)	 Wings of Desire (1987)	 Full Metal Jacket (1987)
Army of Darkness (1993)	 Everyone Says I Love You (1996)	 Full Metal Jacket (1987)	 Dances with Wolves (1990)	 Apartment, The (1960)	 Gattaca (1997)	 2001: A Space Odyssey (1968)	 Wings of Desire (1987)

396	 10	 802	 596	 229	 210	 435	 791
Legends of the Fall (1994)	 Legends of the Fall (1994)	 Heat (1995)	 Supercop (1992)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Evita (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)
Brazil (1985)	 Priest (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Snow White and the Seven Dwarfs (1937)
Princess Bride, The (1987)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 Marvin's Room (1996)	 Apartment, The (1960)	 Alien (1979)	 Mighty Aphrodite (1995)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Evita (1996)	 Spawn (1997)	 Heat (1995)	 Shining, The (1980)	 On Golden Pond (1981)	 What's Eating Gilbert Grape (1993)
Wings of Desire (1987)	 What's Eating Gilbert Grape (1993)	 Dances with Wolves (1990)	 First Wives Club, The (1996)	 Citizen Kane (1941)	 Maltese Falcon, The (1941)	 Spitfire Grill, The (1996)	 Disclosure (1994)
Everyone Says I Love You (1996)	 Princess Bride, The (1987)	 Taxi Driver (1976)	 Maltese Falcon, The (1941)	 Local Hero (1983)	 Full Metal Jacket (1987)	 Casino (1995)	 Priest (1994)
Jack (1996)	 Brazil (1985)	 Everyone Says I Love You (1996)	 Local Hero (1983)	 Die Hard (1988)	 Brazil (1985)	 Raising Arizona (1987)	 Taxi Driver (1976)
GoodFellas (1990)	 Everyone Says I Love You (1996)	 U Turn (1997)	 Princess Bride, The (1987)	 Akira (1988)	 Clockwork Orange, A (1971)	 Evil Dead II (1987)	 Haunted World of Edward D. Wood Jr., The (1995)
So I Married an Axe Murderer (1993)	 Bram Stoker's Dracula (1992)	 Usual Suspects, The (1995)	 Everyone Says I Love You (1996)	 Dark City (1998)	 It Happened One Night (1934)	 Good, The Bad and The Ugly, The (1966)	 Clockwork Orange, A (1971)
Spawn (1997)	 Delicatessen (1991)	 Brazil (1985)	 Clockwork Orange, A (1971)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 Jane Eyre (1996)	 Heat (1995)

519	 42	 158	 261	 16	 92	 79	 574
3 Ninjas: High Noon At Mega Mountain (1998)	 Aliens (1986)	 Everyone Says I Love You (1996)	 Keys to Tulsa (1997)	 Quiz Show (1994)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
Taxi Driver (1976)	 Mighty Aphrodite (1995)	 Local Hero (1983)	 Lay of the Land, The (1997)	 In the Name of the Father (1993)	 Everyone Says I Love You (1996)	 Gone with the Wind (1939)	 Priest (1994)
Brazil (1985)	 Jack (1996)	 Haunted World of Edward D. Wood Jr., The (1995)	 Cop Land (1997)	 Silence of the Lambs, The (1991)	 Brazil (1985)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)
George of the Jungle (1997)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Hot Shots! Part Deux (1993)	 Bringing Up Baby (1938)	 GoodFellas (1990)	 It Happened One Night (1934)	 Harold and Maude (1971)
What's Eating Gilbert Grape (1993)	 Wrong Trousers, The (1993)	 Heavy Metal (1981)	 Heathers (1989)	 Snow White and the Seven Dwarfs (1937)	 Taxi Driver (1976)	 Harold and Maude (1971)	 Spawn (1997)
Batman Forever (1995)	 So I Married an Axe Murderer (1993)	 Jack (1996)	 Everyone Says I Love You (1996)	 Unbearable Lightness of Being, The (1988)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)
In the Name of the Father (1993)	 Trainspotting (1996)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Harold and Maude (1971)	 Army of Darkness (1993)	 Die Hard (1988)	 It Happened One Night (1934)
Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Raging Bull (1980)	 unknown	 Maltese Falcon, The (1941)	 Four Weddings and a Funeral (1994)	 Cat on a Hot Tin Roof (1958)	 As Good As It Gets (1997)
Local Hero (1983)	 Haunted World of Edward D. Wood Jr., The (1995)	 Marvin's Room (1996)	 Starship Troopers (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Good, The Bad and The Ugly, The (1966)	 Children of the Corn: The Gathering (1996)	 Jack (1996)
Mighty Aphrodite (1995)	 Return of the Jedi (1983)	 English Patient, The (1996)	 Substitute, The (1996)	 Heat (1995)	 Snow White and the Seven Dwarfs (1937)	 Leaving Las Vegas (1995)	 In the Name of the Father (1993)

44	 692	 255	 633	 252	 174	 656	 9
3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Brazil (1985)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Supercop (1992)	 Legends of the Fall (1994)
Heat (1995)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Supercop (1992)	 Maltese Falcon, The (1941)	 Full Metal Jacket (1987)	 Supercop (1992)
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 Princess Bride, The (1987)
Local Hero (1983)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Princess Bride, The (1987)	 Princess Bride, The (1987)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 Spawn (1997)
George of the Jungle (1997)	 Local Hero (1983)	 GoodFellas (1990)	 Raiders of the Lost Ark (1981)	 Brazil (1985)	 Heavy Metal (1981)	 Citizen Kane (1941)	 Heavy Metal (1981)
Cinema Paradiso (1988)	 Spawn (1997)	 Children of the Corn: The Gathering (1996)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 Heat (1995)	 Boot, Das (1981)	 Snow White and the Seven Dwarfs (1937)
Haunted World of Edward D. Wood Jr., The (1995)	 Clockwork Orange, A (1971)	 Taxi Driver (1976)	 GoodFellas (1990)	 Maltese Falcon, The (1941)	 Tomorrow Never Dies (1997)	 Trainspotting (1996)	 Brazil (1985)
Brazil (1985)	 It Happened One Night (1934)	 Four Weddings and a Funeral (1994)	 Mighty Aphrodite (1995)	 Apartment, The (1960)	 Jack (1996)	 Alien (1979)	 What's Eating Gilbert Grape (1993)
In the Name of the Father (1993)	 Harold and Maude (1971)	 Bringing Up Baby (1938)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Local Hero (1983)	 Apartment, The (1960)	 Mr. Smith Goes to Washington (1939)
Taxi Driver (1976)	 English Patient, The (1996)	 Dances with Wolves (1990)	 Raging Bull (1980)	 Mighty Aphrodite (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mother (1996)	 Nikita (La Femme Nikita) (1990)

294	 116	 848	 342	 221	 756	 260	 846
Supercop (1992)	 Apocalypse Now (1979)	 George of the Jungle (1997)	 It Happened One Night (1934)	 Everyone Says I Love You (1996)	 Taxi Driver (1976)	 Priest (1994)	 Marvin's Room (1996)
Nikita (La Femme Nikita) (1990)	 So I Married an Axe Murderer (1993)	 Raiders of the Lost Ark (1981)	 Donnie Brasco (1997)	 What's Eating Gilbert Grape (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
2001: A Space Odyssey (1968)	 Heavy Metal (1981)	 GoodFellas (1990)	 North by Northwest (1959)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Dark City (1998)
Maltese Falcon, The (1941)	 2001: A Space Odyssey (1968)	 Robert A. Heinlein's The Puppet Masters (1994)	 Snow White and the Seven Dwarfs (1937)	 Local Hero (1983)	 Brazil (1985)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)
Legends of the Fall (1994)	 Supercop (1992)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 George of the Jungle (1997)
Apartment, The (1960)	 Cinema Paradiso (1988)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Heat (1995)	 Cinema Paradiso (1988)	 Spawn (1997)	 So I Married an Axe Murderer (1993)
Blues Brothers, The (1980)	 Mr. Smith Goes to Washington (1939)	 Maltese Falcon, The (1941)	 Ulee's Gold (1997)	 Marvin's Room (1996)	 George of the Jungle (1997)	 Jack (1996)	 In the Name of the Father (1993)
Shining, The (1980)	 English Patient, The (1996)	 Snow White and the Seven Dwarfs (1937)	 Harold and Maude (1971)	 Legends of the Fall (1994)	 Jack (1996)	 Cinema Paradiso (1988)	 Local Hero (1983)
Clockwork Orange, A (1971)	 Aliens (1986)	 Princess Bride, The (1987)	 Nikita (La Femme Nikita) (1990)	 It Happened One Night (1934)	 Heat (1995)	 Wrong Trousers, The (1993)	 Taxi Driver (1976)
It Happened One Night (1934)	 Rumble in the Bronx (1995)	 In the Name of the Father (1993)	 Mighty Aphrodite (1995)	 Ulee's Gold (1997)	 Maltese Falcon, The (1941)	 English Patient, The (1996)	 Robert A. Heinlein's The Puppet Masters (1994)

85	 916	 870	 22	 797	 553	 738	 357
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Apocalypse Now (1979)	 Priest (1994)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)
Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Priest (1994)	 Supercop (1992)	 Taxi Driver (1976)	 What's Eating Gilbert Grape (1993)	 Heavy Metal (1981)	 Snow White and the Seven Dwarfs (1937)
Everyone Says I Love You (1996)	 Brazil (1985)	 Rumble in the Bronx (1995)	 Snow White and the Seven Dwarfs (1937)	 Dances with Wolves (1990)	 Maltese Falcon, The (1941)	 Three Colors: White (1994)	 Everyone Says I Love You (1996)
Local Hero (1983)	 Supercop (1992)	 Supercop (1992)	 Rumble in the Bronx (1995)	 Brazil (1985)	 Mighty Aphrodite (1995)	 Third Man, The (1949)	 George of the Jungle (1997)
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Return of the Jedi (1983)	 Maltese Falcon, The (1941)	 Bringing Up Baby (1938)	 It Happened One Night (1934)	 Jack (1996)	 Mighty Aphrodite (1995)
Jack (1996)	 Clockwork Orange, A (1971)	 Heavy Metal (1981)	 Sneakers (1992)	 MatchMaker, The (1997)	 Cinema Paradiso (1988)	 As Good As It Gets (1997)	 Heat (1995)
Snow White and the Seven Dwarfs (1937)	 North by Northwest (1959)	 Alien (1979)	 Heat (1995)	 Ace Ventura: Pet Detective (1994)	 Jack (1996)	 Trainspotting (1996)	 Taxi Driver (1976)
It Happened One Night (1934)	 Harold and Maude (1971)	 Right Stuff, The (1983)	 2001: A Space Odyssey (1968)	 What's Eating Gilbert Grape (1993)	 In the Name of the Father (1993)	 Ridicule (1996)	 Spawn (1997)
Shining, The (1980)	 What's Eating Gilbert Grape (1993)	 Sleeper (1973)	 Usual Suspects, The (1995)	 Raising Arizona (1987)	 Legends of the Fall (1994)	 Three Colors: Blue (1993)	 Priest (1994)
In the Name of the Father (1993)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Heavy Metal (1981)	 Kull the Conqueror (1997)	 Apartment, The (1960)	 Indiana Jones and the Last Crusade (1989)	 Dances with Wolves (1990)

106	 92	 781	 190	 643	 357	 137	 518
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Contact (1997)	 What's Eating Gilbert Grape (1993)	 Richard III (1995)	 Legends of the Fall (1994)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 GoodFellas (1990)	 Gone with the Wind (1939)	 MatchMaker, The (1997)	 Snow White and the Seven Dwarfs (1937)	 Maltese Falcon, The (1941)	 So I Married an Axe Murderer (1993)
What's Eating Gilbert Grape (1993)	 Brazil (1985)	 Brazil (1985)	 Maltese Falcon, The (1941)	 Terminator 2: Judgment Day (1991)	 Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)
Legends of the Fall (1994)	 GoodFellas (1990)	 Princess Bride, The (1987)	 2001: A Space Odyssey (1968)	 GoodFellas (1990)	 George of the Jungle (1997)	 Everyone Says I Love You (1996)	 Amadeus (1984)
Local Hero (1983)	 Taxi Driver (1976)	 Everyone Says I Love You (1996)	 Apartment, The (1960)	 Breakdown (1997)	 Mighty Aphrodite (1995)	 Mr. Holland's Opus (1995)	 George of the Jungle (1997)
Ulee's Gold (1997)	 What's Eating Gilbert Grape (1993)	 Citizen Kane (1941)	 Everyone Says I Love You (1996)	 GoldenEye (1995)	 Heat (1995)	 Marvin's Room (1996)	 Dead Poets Society (1989)
Spawn (1997)	 Army of Darkness (1993)	 Contact (1997)	 Bad Moon (1996)	 Legends of the Fall (1994)	 Taxi Driver (1976)	 Phenomenon (1996)	 Snow White and the Seven Dwarfs (1937)
George of the Jungle (1997)	 Four Weddings and a Funeral (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)	 Addams Family Values (1993)	 Spawn (1997)	 Trainspotting (1996)	 Butch Cassidy and the Sundance Kid (1969)
Harold and Maude (1971)	 Good, The Bad and The Ugly, The (1966)	 Children of the Corn: The Gathering (1996)	 Harold and Maude (1971)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)	 Heavy Metal (1981)	 Gone with the Wind (1939)
3 Ninjas: High Noon At Mega Mountain (1998)	 Snow White and the Seven Dwarfs (1937)	 Gone with the Wind (1939)	 Local Hero (1983)	 M*A*S*H (1970)	 Dances with Wolves (1990)	 2001: A Space Odyssey (1968)	 Microcosmos: Le peuple de l'herbe (1996)

252	 675	 426	 191	 37	 501	 473	 725
Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)	 Brazil (1985)	 Wishmaster (1997)	 Priest (1994)	 Mighty Aphrodite (1995)	 Brazil (1985)
Supercop (1992)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Ulee's Gold (1997)	 Cinema Paradiso (1988)	 Priest (1994)	 Princess Bride, The (1987)
What's Eating Gilbert Grape (1993)	 Heat (1995)	 Aliens (1986)	 3 Ninjas: High Noon At Mega Mountain (1998)	 unknown	 Trainspotting (1996)	 So I Married an Axe Murderer (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)
Everyone Says I Love You (1996)	 Taxi Driver (1976)	 Princess Bride, The (1987)	 Mighty Aphrodite (1995)	 Telling Lies in America (1997)	 Rumble in the Bronx (1995)	 Dances with Wolves (1990)	 Legends of the Fall (1994)
Brazil (1985)	 Emma (1996)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 In the Company of Men (1997)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Patton (1970)
Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 First Wives Club, The (1996)	 Snow White and the Seven Dwarfs (1937)	 Aliens (1986)	 Three Colors: White (1994)	 Raiders of the Lost Ark (1981)	 GoodFellas (1990)
Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Platoon (1986)	 Princess Bride, The (1987)	 Wedding Singer, The (1998)	 Babe (1995)	 Dead Poets Society (1989)	 Taxi Driver (1976)
Apartment, The (1960)	 Twister (1996)	 Wag the Dog (1997)	 GoodFellas (1990)	 Homage (1995)	 Supercop (1992)	 Starship Troopers (1997)	 What's Eating Gilbert Grape (1993)
3 Ninjas: High Noon At Mega Mountain (1998)	 Supercop (1992)	 Ulee's Gold (1997)	 Taxi Driver (1976)	 City Slickers II: The Legend of Curly's Gold (1994)	 Jack (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heat (1995)
Mighty Aphrodite (1995)	 Ulee's Gold (1997)	 Willy Wonka and the Chocolate Factory (1971)	 Heat (1995)	 Body Parts (1991)	 First Wives Club, The (1996)	 Everyone Says I Love You (1996)	 Much Ado About Nothing (1993)

220	 403	 522	 205	 727	 733	 356	 581
Apocalypse Now (1979)	 Maltese Falcon, The (1941)	 Full Monty, The (1997)	 Harold and Maude (1971)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)
Haunted World of Edward D. Wood Jr., The (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Richard III (1995)	 Full Metal Jacket (1987)	 Marvin's Room (1996)	 What's Eating Gilbert Grape (1993)	 GoodFellas (1990)
Gattaca (1997)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 2001: A Space Odyssey (1968)	 Taxi Driver (1976)	 As Good As It Gets (1997)	 Princess Bride, The (1987)
Jack (1996)	 Casablanca (1942)	 Disclosure (1994)	 Nikita (La Femme Nikita) (1990)	 Supercop (1992)	 Dark City (1998)	 In the Name of the Father (1993)	 Evita (1996)
First Wives Club, The (1996)	 Brazil (1985)	 Haunted World of Edward D. Wood Jr., The (1995)	 Trainspotting (1996)	 Better Off Dead... (1985)	 Heat (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
Priest (1994)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Spawn (1997)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Marvin's Room (1996)	 Shall We Dance? (1996)
Amadeus (1984)	 Supercop (1992)	 Priest (1994)	 English Patient, The (1996)	 North by Northwest (1959)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Heat (1995)	 George of the Jungle (1997)
Wrong Trousers, The (1993)	 Cinema Paradiso (1988)	 Jack (1996)	 It Happened One Night (1934)	 Bad Moon (1996)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Secret of Roan Inish, The (1994)
Touch of Evil (1958)	 Jack (1996)	 Legends of the Fall (1994)	 Notorious (1946)	 As Good As It Gets (1997)	 Batman Forever (1995)	 Local Hero (1983)	 Everyone Says I Love You (1996)
Trainspotting (1996)	 Local Hero (1983)	 Raiders of the Lost Ark (1981)	 North by Northwest (1959)	 Trainspotting (1996)	 Four Weddings and a Funeral (1994)	 Nikita (La Femme Nikita) (1990)	 2001: A Space Odyssey (1968)

406	 684	 471	 184	 381	 547	 289	 455
Mirror Has Two Faces, The (1996)	 Priest (1994)	 Legends of the Fall (1994)	 Pump Up the Volume (1990)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)
Brazil (1985)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Heathers (1989)	 Supercop (1992)	 Taxi Driver (1976)
Patton (1970)	 Legends of the Fall (1994)	 Restoration (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Princess Bride, The (1987)	 Heat (1995)	 Brazil (1985)
What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Spawn (1997)	 English Patient, The (1996)	 Marvin's Room (1996)	 Desperate Measures (1998)	 Spawn (1997)	 Everyone Says I Love You (1996)
Die Hard (1988)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Snow White and the Seven Dwarfs (1937)	 Local Hero (1983)	 Brazil (1985)	 Harold and Maude (1971)	 Die Hard (1988)
Legends of the Fall (1994)	 Trainspotting (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Dead Poets Society (1989)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
Everyone Says I Love You (1996)	 Jack (1996)	 Supercop (1992)	 Nikita (La Femme Nikita) (1990)	 What's Eating Gilbert Grape (1993)	 Babe (1995)	 Maltese Falcon, The (1941)	 Dances with Wolves (1990)
Shaggy Dog, The (1959)	 Spawn (1997)	 Snow White and the Seven Dwarfs (1937)	 Local Hero (1983)	 Cat on a Hot Tin Roof (1958)	 Priest (1994)	 What's Eating Gilbert Grape (1993)	 M*A*S*H (1970)
Mars Attacks! (1996)	 Full Metal Jacket (1987)	 Heat (1995)	 Jack (1996)	 Harold and Maude (1971)	 GoodFellas (1990)	 Nikita (La Femme Nikita) (1990)	 Mighty Aphrodite (1995)
Aladdin (1992)	 Wings of Desire (1987)	 Ulee's Gold (1997)	 Haunted World of Edward D. Wood Jr., The (1995)	 Trainspotting (1996)	 Dances with Wolves (1990)	 Local Hero (1983)	 Four Weddings and a Funeral (1994)

250	 556	 811	 725	 203	 114	 37	 315
Priest (1994)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)	 Virtuosity (1995)	 Legends of the Fall (1994)	 Wishmaster (1997)	 What's Eating Gilbert Grape (1993)
Snow White and the Seven Dwarfs (1937)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Princess Bride, The (1987)	 Speed 2: Cruise Control (1997)	 GoodFellas (1990)	 Ulee's Gold (1997)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Taxi Driver (1976)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Super Mario Bros. (1993)	 Contact (1997)	 unknown	 Raising Arizona (1987)
Local Hero (1983)	 2001: A Space Odyssey (1968)	 Desperate Measures (1998)	 Legends of the Fall (1994)	 Mrs. Doubtfire (1993)	 Princess Bride, The (1987)	 Telling Lies in America (1997)	 Wild Bunch, The (1969)
What's Eating Gilbert Grape (1993)	 North by Northwest (1959)	 In the Name of the Father (1993)	 Patton (1970)	 City Slickers II: The Legend of Curly's Gold (1994)	 Cable Guy, The (1996)	 In the Company of Men (1997)	 Four Weddings and a Funeral (1994)
It Happened One Night (1934)	 English Patient, The (1996)	 Emma (1996)	 GoodFellas (1990)	 Coldblooded (1995)	 So I Married an Axe Murderer (1993)	 Aliens (1986)	 Evita (1996)
Maltese Falcon, The (1941)	 Shining, The (1980)	 What's Eating Gilbert Grape (1993)	 Taxi Driver (1976)	 Wild Bill (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Wedding Singer, The (1998)	 Patton (1970)
Haunted World of Edward D. Wood Jr., The (1995)	 It Happened One Night (1934)	 Four Weddings and a Funeral (1994)	 What's Eating Gilbert Grape (1993)	 Billy Madison (1995)	 In the Name of the Father (1993)	 Homage (1995)	 On Golden Pond (1981)
Spawn (1997)	 Wings of Desire (1987)	 Legends of the Fall (1994)	 Heat (1995)	 Devil in a Blue Dress (1995)	 What's Eating Gilbert Grape (1993)	 City Slickers II: The Legend of Curly's Gold (1994)	 Much Ado About Nothing (1993)
Mighty Aphrodite (1995)	 Local Hero (1983)	 GoodFellas (1990)	 Much Ado About Nothing (1993)	 High School High (1996)	 Cinema Paradiso (1988)	 Body Parts (1991)	 Dances with Wolves (1990)

890	 448	 701	 845	 638	 502	 43	 499
Raiders of the Lost Ark (1981)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Marvin's Room (1996)	 Supercop (1992)	 Brazil (1985)	 Apocalypse Now (1979)
Legends of the Fall (1994)	 Princess Bride, The (1987)	 Princess Bride, The (1987)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mighty Aphrodite (1995)	 Bringing Up Baby (1938)	 Aliens (1986)
Priest (1994)	 Brazil (1985)	 GoodFellas (1990)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Priest (1994)	 Legends of the Fall (1994)	 Return of the Jedi (1983)
Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Brazil (1985)	 Harold and Maude (1971)	 Local Hero (1983)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 So I Married an Axe Murderer (1993)
What's Eating Gilbert Grape (1993)	 So I Married an Axe Murderer (1993)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Graduate, The (1967)	 What's Eating Gilbert Grape (1993)	 GoldenEye (1995)	 Mr. Smith Goes to Washington (1939)
Mighty Aphrodite (1995)	 Supercop (1992)	 Maltese Falcon, The (1941)	 Raiders of the Lost Ark (1981)	 Jack (1996)	 First Wives Club, The (1996)	 Taxi Driver (1976)	 Rumble in the Bronx (1995)
Disclosure (1994)	 Ulee's Gold (1997)	 Raiders of the Lost Ark (1981)	 Snow White and the Seven Dwarfs (1937)	 What's Eating Gilbert Grape (1993)	 English Patient, The (1996)	 Die Hard (1988)	 Supercop (1992)
3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Taxi Driver (1976)	 It Happened One Night (1934)	 Princess Bride, The (1987)	 Mighty Aphrodite (1995)
