455	 402	 922	 234	 724	 425	 788
Everyone Says I Love You (1996)	 Four Weddings and a Funeral (1994)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Supercop (1992)	 Cinema Paradiso (1988)	 Snow White and the Seven Dwarfs (1937)
Marvin's Room (1996)	 What's Eating Gilbert Grape (1993)	 Wings of Desire (1987)	 Maltese Falcon, The (1941)	 Heat (1995)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
Heat (1995)	 Nikita (La Femme Nikita) (1990)	 Rumble in the Bronx (1995)	 Local Hero (1983)	 Nikita (La Femme Nikita) (1990)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)
Priest (1994)	 Silence of the Lambs, The (1991)	 Supercop (1992)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 It Happened One Night (1934)	 Harold and Maude (1971)
Snow White and the Seven Dwarfs (1937)	 Harold and Maude (1971)	 Clockwork Orange, A (1971)	 Gone with the Wind (1939)	 Maltese Falcon, The (1941)	 Priest (1994)	 Local Hero (1983)
Local Hero (1983)	 Snow White and the Seven Dwarfs (1937)	 Harold and Maude (1971)	 Princess Bride, The (1987)	 Heavy Metal (1981)	 Mighty Aphrodite (1995)	 Spawn (1997)
What's Eating Gilbert Grape (1993)	 Delicatessen (1991)	 It Happened One Night (1934)	 Raiders of the Lost Ark (1981)	 What's Eating Gilbert Grape (1993)	 Gattaca (1997)	 Bringing Up Baby (1938)
Spawn (1997)	 Spawn (1997)	 Trainspotting (1996)	 Raging Bull (1980)	 Haunted World of Edward D. Wood Jr., The (1995)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)
Back to the Future (1985)	 Graduate, The (1967)	 Full Metal Jacket (1987)	 Leaving Las Vegas (1995)	 Akira (1988)	 What's Eating Gilbert Grape (1993)	 Four Weddings and a Funeral (1994)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Shining, The (1980)	 Gattaca (1997)	 Pump Up the Volume (1990)	 2001: A Space Odyssey (1968)	 It Happened One Night (1934)

304	 344	 626	 123	 882	 549	 456
Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 Legends of the Fall (1994)	 2001: A Space Odyssey (1968)	 What's Eating Gilbert Grape (1993)	 Brazil (1985)	 Supercop (1992)
Priest (1994)	 Spawn (1997)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)
Supercop (1992)	 Jack (1996)	 Maltese Falcon, The (1941)	 Supercop (1992)	 Heat (1995)	 Dances with Wolves (1990)	 Maltese Falcon, The (1941)
Full Metal Jacket (1987)	 Maltese Falcon, The (1941)	 Princess Bride, The (1987)	 Room with a View, A (1986)	 Taxi Driver (1976)	 Army of Darkness (1993)	 Everyone Says I Love You (1996)
Raging Bull (1980)	 Wings of Desire (1987)	 So I Married an Axe Murderer (1993)	 Day the Earth Stood Still, The (1951)	 Supercop (1992)	 Lawnmower Man, The (1992)	 Brazil (1985)
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Mr. Smith Goes to Washington (1939)	 I.Q. (1994)	 Shining, The (1980)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)
Spawn (1997)	 Priest (1994)	 Mighty Aphrodite (1995)	 North by Northwest (1959)	 Twister (1996)	 Dead Poets Society (1989)	 Raging Bull (1980)
Maltese Falcon, The (1941)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 English Patient, The (1996)	 Snow White and the Seven Dwarfs (1937)	 Taxi Driver (1976)	 Snow White and the Seven Dwarfs (1937)
What's Eating Gilbert Grape (1993)	 Trainspotting (1996)	 Jack (1996)	 Better Off Dead... (1985)	 Cinema Paradiso (1988)	 Sling Blade (1996)	 Wings of Desire (1987)
Snow White and the Seven Dwarfs (1937)	 2001: A Space Odyssey (1968)	 2001: A Space Odyssey (1968)	 Priest (1994)	 Mighty Aphrodite (1995)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)

212	 733	 683	 309	 765	 225	 280
3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Priest (1994)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Prisoner of the Mountains (Kavkazsky Plennik) (1996)
Shining, The (1980)	 Marvin's Room (1996)	 GoodFellas (1990)	 Mighty Aphrodite (1995)	 Bringing Up Baby (1938)	 Taxi Driver (1976)	 Cinema Paradiso (1988)
Everyone Says I Love You (1996)	 Taxi Driver (1976)	 Princess Bride, The (1987)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Window to Paris (1994)
As Good As It Gets (1997)	 Dark City (1998)	 Disclosure (1994)	 Full Metal Jacket (1987)	 Snow White and the Seven Dwarfs (1937)	 Brazil (1985)	 This Is Spinal Tap (1984)
Local Hero (1983)	 Heat (1995)	 What's Eating Gilbert Grape (1993)	 So I Married an Axe Murderer (1993)	 Maltese Falcon, The (1941)	 Die Hard (1988)	 Jack (1996)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Full Metal Jacket (1987)	 2001: A Space Odyssey (1968)	 Harold and Maude (1971)	 Bringing Up Baby (1938)	 Fish Called Wanda, A (1988)
Heat (1995)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Brazil (1985)	 Apocalypse Now (1979)	 Taxi Driver (1976)	 Hot Shots! Part Deux (1993)	 Godfather: Part II, The (1974)
Raging Bull (1980)	 Maltese Falcon, The (1941)	 Supercop (1992)	 Alien (1979)	 Four Weddings and a Funeral (1994)	 Casino (1995)	 Indiana Jones and the Last Crusade (1989)
Dead Man Walking (1995)	 Batman Forever (1995)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Brazil (1985)	 Silence of the Lambs, The (1991)	 Haunted World of Edward D. Wood Jr., The (1995)
Wrong Trousers, The (1993)	 Four Weddings and a Funeral (1994)	 Mighty Aphrodite (1995)	 Aliens (1986)	 It Happened One Night (1934)	 French Twist (Gazon maudit) (1995)	 Beverly Hills Ninja (1997)

5	 721	 174	 190	 906	 508	 653
Cinema Paradiso (1988)	 Marvin's Room (1996)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Snow White and the Seven Dwarfs (1937)
Maltese Falcon, The (1941)	 Ulee's Gold (1997)	 Maltese Falcon, The (1941)	 Gone with the Wind (1939)	 Apartment, The (1960)	 Much Ado About Nothing (1993)	 Everyone Says I Love You (1996)
Seven (Se7en) (1995)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 Ulee's Gold (1997)	 Dances with Wolves (1990)	 What's Eating Gilbert Grape (1993)
2001: A Space Odyssey (1968)	 So I Married an Axe Murderer (1993)	 What's Eating Gilbert Grape (1993)	 2001: A Space Odyssey (1968)	 Legends of the Fall (1994)	 Cable Guy, The (1996)	 Spawn (1997)
Everyone Says I Love You (1996)	 Jack (1996)	 Heavy Metal (1981)	 Apartment, The (1960)	 It Happened One Night (1934)	 M*A*S*H (1970)	 It Happened One Night (1934)
George of the Jungle (1997)	 Apocalypse Now (1979)	 Heat (1995)	 Everyone Says I Love You (1996)	 Supercop (1992)	 In & Out (1997)	 Harold and Maude (1971)
GoldenEye (1995)	 What's Eating Gilbert Grape (1993)	 Tomorrow Never Dies (1997)	 Bad Moon (1996)	 Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)
Amadeus (1984)	 English Patient, The (1996)	 Jack (1996)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 Everyone Says I Love You (1996)	 Jack (1996)
Dead Man Walking (1995)	 It Happened One Night (1934)	 Local Hero (1983)	 Harold and Maude (1971)	 Snow White and the Seven Dwarfs (1937)	 Dead Poets Society (1989)	 Mighty Aphrodite (1995)
Full Monty, The (1997)	 Maltese Falcon, The (1941)	 Haunted World of Edward D. Wood Jr., The (1995)	 Local Hero (1983)	 3 Ninjas: High Noon At Mega Mountain (1998)	 What's Eating Gilbert Grape (1993)	 Pump Up the Volume (1990)

598	 685	 656	 564	 877	 378	 205
Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Harold and Maude (1971)
Heat (1995)	 Heat (1995)	 Full Metal Jacket (1987)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Richard III (1995)
Mighty Aphrodite (1995)	 Brazil (1985)	 Maltese Falcon, The (1941)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 2001: A Space Odyssey (1968)	 Mighty Aphrodite (1995)	 Jack (1996)	 Everyone Says I Love You (1996)	 Nikita (La Femme Nikita) (1990)
Ulee's Gold (1997)	 Jack (1996)	 Citizen Kane (1941)	 Heat (1995)	 Spawn (1997)	 Maltese Falcon, The (1941)	 Trainspotting (1996)
Dead Poets Society (1989)	 Wings of Desire (1987)	 Boot, Das (1981)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Raiders of the Lost Ark (1981)	 Spawn (1997)
Everyone Says I Love You (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Trainspotting (1996)	 Princess Bride, The (1987)	 Heavy Metal (1981)	 Brazil (1985)	 English Patient, The (1996)
Dances with Wolves (1990)	 Princess Bride, The (1987)	 Alien (1979)	 What's Eating Gilbert Grape (1993)	 Haunted World of Edward D. Wood Jr., The (1995)	 Wrong Trousers, The (1993)	 It Happened One Night (1934)
Citizen Kane (1941)	 Dead Man Walking (1995)	 Apartment, The (1960)	 Supercop (1992)	 Local Hero (1983)	 Local Hero (1983)	 Notorious (1946)
As Good As It Gets (1997)	 What's Eating Gilbert Grape (1993)	 Mother (1996)	 Taxi Driver (1976)	 It Happened One Night (1934)	 Princess Bride, The (1987)	 North by Northwest (1959)

448	 59	 772	 108	 343	 565	 617
Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)	 Wild Bunch, The (1969)	 Gattaca (1997)	 Richard III (1995)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
Princess Bride, The (1987)	 Indiana Jones and the Last Crusade (1989)	 Better Off Dead... (1985)	 Spawn (1997)	 Priest (1994)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
Brazil (1985)	 Heat (1995)	 GoldenEye (1995)	 Trainspotting (1996)	 2001: A Space Odyssey (1968)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)
Mighty Aphrodite (1995)	 First Wives Club, The (1996)	 Die Hard (1988)	 Priest (1994)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
So I Married an Axe Murderer (1993)	 Raiders of the Lost Ark (1981)	 Sabrina (1954)	 First Wives Club, The (1996)	 Trainspotting (1996)	 Gone with the Wind (1939)	 Legends of the Fall (1994)
Supercop (1992)	 Priest (1994)	 Seven (Se7en) (1995)	 Snow White and the Seven Dwarfs (1937)	 Alien (1979)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Local Hero (1983)
Ulee's Gold (1997)	 Jack (1996)	 Dead Man Walking (1995)	 Harold and Maude (1971)	 Notorious (1946)	 Brazil (1985)	 Ulee's Gold (1997)
What's Eating Gilbert Grape (1993)	 Wrong Trousers, The (1993)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Casablanca (1942)	 Harold and Maude (1971)	 Marvin's Room (1996)
GoodFellas (1990)	 Forbidden Planet (1956)	 Citizen Kane (1941)	 Wings of Desire (1987)	 Stand by Me (1986)	 It Happened One Night (1934)	 North by Northwest (1959)
Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Lost World: Jurassic Park, The (1997)	 Rumble in the Bronx (1995)	 Mother (1996)	 In the Name of the Father (1993)	 Jack (1996)

849	 300	 319	 230	 389	 519	 200
Haunted World of Edward D. Wood Jr., The (1995)	 Mighty Aphrodite (1995)	 Heat (1995)	 Winter Guest, The (1997)	 Taxi Driver (1976)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Priest (1994)
Cinema Paradiso (1988)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Mother (1996)	 Everyone Says I Love You (1996)	 Taxi Driver (1976)	 Trainspotting (1996)
Delicatessen (1991)	 So I Married an Axe Murderer (1993)	 Everyone Says I Love You (1996)	 Searching for Bobby Fischer (1993)	 What's Eating Gilbert Grape (1993)	 Brazil (1985)	 Jack (1996)
Raiders of the Lost Ark (1981)	 Jack (1996)	 Local Hero (1983)	 Everyone Says I Love You (1996)	 Four Weddings and a Funeral (1994)	 George of the Jungle (1997)	 Spawn (1997)
3 Ninjas: High Noon At Mega Mountain (1998)	 Trainspotting (1996)	 Terminator, The (1984)	 Ulee's Gold (1997)	 Dances with Wolves (1990)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
Jack (1996)	 Boot, Das (1981)	 Taxi Driver (1976)	 It Happened One Night (1934)	 Brazil (1985)	 Batman Forever (1995)	 Maltese Falcon, The (1941)
Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 Brothers McMullen, The (1995)	 Jungle2Jungle (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 In the Name of the Father (1993)	 Wings of Desire (1987)
French Twist (Gazon maudit) (1995)	 Three Colors: White (1994)	 Raging Bull (1980)	 Some Like It Hot (1959)	 Evita (1996)	 Cinema Paradiso (1988)	 Supercop (1992)
North by Northwest (1959)	 Haunted World of Edward D. Wood Jr., The (1995)	 In the Name of the Father (1993)	 Spawn (1997)	 Die Hard (1988)	 Local Hero (1983)	 Haunted World of Edward D. Wood Jr., The (1995)
GoodFellas (1990)	 Lost World: Jurassic Park, The (1997)	 Heavy Metal (1981)	 Gattaca (1997)	 U Turn (1997)	 Mighty Aphrodite (1995)	 Gattaca (1997)

14	 522	 376	 441	 794	 19	 900
Full Metal Jacket (1987)	 Full Monty, The (1997)	 Legends of the Fall (1994)	 Snow White and the Seven Dwarfs (1937)	 Legends of the Fall (1994)	 Richard III (1995)	 Everyone Says I Love You (1996)
Jack (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)	 Princess Bride, The (1987)	 Priest (1994)	 Brazil (1985)
Wings of Desire (1987)	 Mighty Aphrodite (1995)	 Brazil (1985)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 English Patient, The (1996)	 George of the Jungle (1997)
Paris, Texas (1984)	 Disclosure (1994)	 Princess Bride, The (1987)	 Amadeus (1984)	 Everyone Says I Love You (1996)	 Delicatessen (1991)	 3 Ninjas: High Noon At Mega Mountain (1998)
Highlander (1986)	 Haunted World of Edward D. Wood Jr., The (1995)	 Dances with Wolves (1990)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Heavy Metal (1981)	 Maltese Falcon, The (1941)
Somewhere in Time (1980)	 Cinema Paradiso (1988)	 Gone with the Wind (1939)	 Mighty Aphrodite (1995)	 Brazil (1985)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
Legends of the Fall (1994)	 Priest (1994)	 What's Eating Gilbert Grape (1993)	 Jungle2Jungle (1997)	 GoodFellas (1990)	 Maltese Falcon, The (1941)	 Children of the Corn: The Gathering (1996)
Quiet Man, The (1952)	 Jack (1996)	 Army of Darkness (1993)	 Everyone Says I Love You (1996)	 Raiders of the Lost Ark (1981)	 Leaving Las Vegas (1995)	 Cinema Paradiso (1988)
As Good As It Gets (1997)	 Legends of the Fall (1994)	 Supercop (1992)	 Spawn (1997)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)
Supercop (1992)	 Raiders of the Lost Ark (1981)	 Maltese Falcon, The (1941)	 Local Hero (1983)	 Supercop (1992)	 Mr. Holland's Opus (1995)	 Taxi Driver (1976)

635	 236	 887	 83	 268	 480	 829
3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Priest (1994)	 Raiders of the Lost Ark (1981)	 Spawn (1997)
Priest (1994)	 English Patient, The (1996)	 Mighty Aphrodite (1995)	 Shining, The (1980)	 Snow White and the Seven Dwarfs (1937)	 Mighty Aphrodite (1995)	 Local Hero (1983)
Heat (1995)	 2001: A Space Odyssey (1968)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Supercop (1992)	 Legends of the Fall (1994)	 Priest (1994)
Supercop (1992)	 Trainspotting (1996)	 Princess Bride, The (1987)	 Legends of the Fall (1994)	 Spawn (1997)	 Brazil (1985)	 Three Colors: Blue (1993)
What's Eating Gilbert Grape (1993)	 Jack (1996)	 Everyone Says I Love You (1996)	 Heat (1995)	 Jack (1996)	 Cinema Paradiso (1988)	 Third Man, The (1949)
Mighty Aphrodite (1995)	 Supercop (1992)	 Disclosure (1994)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Ulee's Gold (1997)
Brazil (1985)	 Nikita (La Femme Nikita) (1990)	 Godfather: Part II, The (1974)	 Mighty Aphrodite (1995)	 Full Metal Jacket (1987)	 Army of Darkness (1993)	 What's Eating Gilbert Grape (1993)
Spawn (1997)	 Everyone Says I Love You (1996)	 Brazil (1985)	 Clockwork Orange, A (1971)	 Haunted World of Edward D. Wood Jr., The (1995)	 Maltese Falcon, The (1941)	 Apocalypse Now (1979)
Ulee's Gold (1997)	 Wings of Desire (1987)	 GoodFellas (1990)	 Harold and Maude (1971)	 Maltese Falcon, The (1941)	 Taxi Driver (1976)	 Full Metal Jacket (1987)
Everyone Says I Love You (1996)	 Annie Hall (1977)	 Gandhi (1982)	 Brazil (1985)	 Wings of Desire (1987)	 Jack (1996)	 Nikita (La Femme Nikita) (1990)

232	 166	 447	 111	 224	 141	 117
Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Taxi Driver (1976)	 Maltese Falcon, The (1941)	 Supercop (1992)
In the Name of the Father (1993)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Priest (1994)
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Gone with the Wind (1939)	 What's Eating Gilbert Grape (1993)	 On Golden Pond (1981)	 Jack (1996)	 Full Metal Jacket (1987)
As Good As It Gets (1997)	 Cinema Paradiso (1988)	 Ulee's Gold (1997)	 Bringing Up Baby (1938)	 Mask, The (1994)	 Local Hero (1983)	 Turbo: A Power Rangers Movie (1997)
Godfather, The (1972)	 Jack (1996)	 Snow White and the Seven Dwarfs (1937)	 Taxi Driver (1976)	 Bram Stoker's Dracula (1992)	 Marvin's Room (1996)	 Full Monty, The (1997)
Maltese Falcon, The (1941)	 George of the Jungle (1997)	 Bringing Up Baby (1938)	 Heat (1995)	 Brazil (1985)	 Legends of the Fall (1994)	 Dances with Wolves (1990)
In & Out (1997)	 English Patient, The (1996)	 Harold and Maude (1971)	 Snow White and the Seven Dwarfs (1937)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Cinema Paradiso (1988)	 Haunted World of Edward D. Wood Jr., The (1995)
George of the Jungle (1997)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 In the Name of the Father (1993)	 Bringing Up Baby (1938)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)
Dances with Wolves (1990)	 GoodFellas (1990)	 Pump Up the Volume (1990)	 Four Weddings and a Funeral (1994)	 Terminator 2: Judgment Day (1991)	 North by Northwest (1959)	 3 Ninjas: High Noon At Mega Mountain (1998)
So I Married an Axe Murderer (1993)	 Princess Bride, The (1987)	 Shining, The (1980)	 French Twist (Gazon maudit) (1995)	 Big Night (1996)	 Trainspotting (1996)	 Jack (1996)

170	 507	 909	 717	 66	 943	 3
Everyone Says I Love You (1996)	 Brazil (1985)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Supercop (1992)
What's Eating Gilbert Grape (1993)	 GoldenEye (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Heavy Metal (1981)
Legends of the Fall (1994)	 Army of Darkness (1993)	 Citizen Kane (1941)	 Harold and Maude (1971)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Bringing Up Baby (1938)	 Maltese Falcon, The (1941)
GoodFellas (1990)	 Taxi Driver (1976)	 Snow White and the Seven Dwarfs (1937)	 Citizen Kane (1941)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)
Princess Bride, The (1987)	 Patton (1970)	 Gone with the Wind (1939)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Ulee's Gold (1997)
George of the Jungle (1997)	 Dances with Wolves (1990)	 Harold and Maude (1971)	 What's Eating Gilbert Grape (1993)	 Bringing Up Baby (1938)	 Harold and Maude (1971)	 Apartment, The (1960)
Heat (1995)	 Legends of the Fall (1994)	 It Happened One Night (1934)	 Bringing Up Baby (1938)	 Shining, The (1980)	 Brazil (1985)	 Brazil (1985)
Taxi Driver (1976)	 Lawnmower Man, The (1992)	 Bringing Up Baby (1938)	 Leaving Las Vegas (1995)	 Nikita (La Femme Nikita) (1990)	 Four Weddings and a Funeral (1994)	 Everyone Says I Love You (1996)
Mighty Aphrodite (1995)	 Apartment, The (1960)	 Local Hero (1983)	 Clockwork Orange, A (1971)	 French Twist (Gazon maudit) (1995)	 Die Hard (1988)	 Pump Up the Volume (1990)
Brazil (1985)	 Full Metal Jacket (1987)	 Searching for Bobby Fischer (1993)	 Cat on a Hot Tin Roof (1958)	 In the Name of the Father (1993)	 Snow White and the Seven Dwarfs (1937)	 English Patient, The (1996)

630	 432	 359	 639	 477	 757	 172
Brazil (1985)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Romeo Is Bleeding (1993)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)
3 Ninjas: High Noon At Mega Mountain (1998)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 Heat (1995)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Third Man, The (1949)	 Legends of the Fall (1994)	 Princess Bride, The (1987)	 Jack (1996)	 Jack (1996)
What's Eating Gilbert Grape (1993)	 Brazil (1985)	 Gone with the Wind (1939)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)
Snow White and the Seven Dwarfs (1937)	 Legends of the Fall (1994)	 Angels and Insects (1995)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Brazil (1985)
Supercop (1992)	 Maltese Falcon, The (1941)	 English Patient, The (1996)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Haunted World of Edward D. Wood Jr., The (1995)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
Princess Bride, The (1987)	 Taxi Driver (1976)	 Amadeus (1984)	 Raiders of the Lost Ark (1981)	 Raiders of the Lost Ark (1981)	 Local Hero (1983)	 Supercop (1992)
Maltese Falcon, The (1941)	 Heat (1995)	 Star Trek: First Contact (1996)	 M*A*S*H (1970)	 Jack (1996)	 It Happened One Night (1934)	 Wings of Desire (1987)
Everyone Says I Love You (1996)	 M*A*S*H (1970)	 Three Colors: Blue (1993)	 Taxi Driver (1976)	 Heat (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Princess Bride, The (1987)
Lawnmower Man, The (1992)	 It Happened One Night (1934)	 Local Hero (1983)	 Ulee's Gold (1997)	 Brazil (1985)	 Cinema Paradiso (1988)	 Heavy Metal (1981)

516	 29	 248	 305	 69	 902	 795
Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Legends of the Fall (1994)	 Bringing Up Baby (1938)	 Cinema Paradiso (1988)
Dances with Wolves (1990)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Brazil (1985)	 Princess Bride, The (1987)	 Everyone Says I Love You (1996)	 Jack (1996)
Mighty Aphrodite (1995)	 Snow White and the Seven Dwarfs (1937)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Trainspotting (1996)
Hoodlum (1997)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Taxi Driver (1976)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Supercop (1992)
What's Eating Gilbert Grape (1993)	 Ulee's Gold (1997)	 Brazil (1985)	 Dances with Wolves (1990)	 Trainspotting (1996)	 Tales From the Crypt Presents: Demon Knight (1995)	 Priest (1994)
Brazil (1985)	 Brazil (1985)	 Graduate, The (1967)	 Mighty Aphrodite (1995)	 Wings of Desire (1987)	 In & Out (1997)	 Maltese Falcon, The (1941)
Evita (1996)	 Princess Bride, The (1987)	 Harold and Maude (1971)	 Hot Shots! Part Deux (1993)	 Mr. Holland's Opus (1995)	 Die Hard (1988)	 It Happened One Night (1934)
Princess Bride, The (1987)	 Heavy Metal (1981)	 Princess Bride, The (1987)	 M*A*S*H (1970)	 D3: The Mighty Ducks (1996)	 Brazil (1985)	 Mighty Aphrodite (1995)
M*A*S*H (1970)	 Babe (1995)	 George of the Jungle (1997)	 Snow White and the Seven Dwarfs (1937)	 Vertigo (1958)	 Taxi Driver (1976)	 2001: A Space Odyssey (1968)
Cinema Paradiso (1988)	 Haunted World of Edward D. Wood Jr., The (1995)	 Clockwork Orange, A (1971)	 Legends of the Fall (1994)	 Snow White and the Seven Dwarfs (1937)	 In the Name of the Father (1993)	 First Wives Club, The (1996)

