546	 159	 196	 91	 914
It Happened One Night (1934)	 Jack (1996)	 Dances with Wolves (1990)	 Trainspotting (1996)	 Legends of the Fall (1994)
Leaving Las Vegas (1995)	 Leaving Las Vegas (1995)	 Dead Poets Society (1989)	 It Happened One Night (1934)	 Taxi Driver (1976)
Jungle2Jungle (1997)	 Harold and Maude (1971)	 Priest (1994)	 Everyone Says I Love You (1996)	 Spawn (1997)
Washington Square (1997)	 Cinema Paradiso (1988)	 Princess Bride, The (1987)	 Snow White and the Seven Dwarfs (1937)	 Princess Bride, The (1987)
Priest (1994)	 It Happened One Night (1934)	 M*A*S*H (1970)	 Jack (1996)	 Supercop (1992)
Pink Floyd - The Wall (1982)	 English Patient, The (1996)	 Raiders of the Lost Ark (1981)	 Citizen Kane (1941)	 Snow White and the Seven Dwarfs (1937)
Seven (Se7en) (1995)	 Haunted World of Edward D. Wood Jr., The (1995)	 Hot Shots! Part Deux (1993)	 Pump Up the Volume (1990)	 Mighty Aphrodite (1995)
Everyone Says I Love You (1996)	 Pump Up the Volume (1990)	 Mighty Aphrodite (1995)	 North by Northwest (1959)	 Maltese Falcon, The (1941)

187	 852	 690	 412	 257
In & Out (1997)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)
Everyone Says I Love You (1996)	 Priest (1994)	 Cable Guy, The (1996)	 GoodFellas (1990)	 What's Eating Gilbert Grape (1993)
Twister (1996)	 Supercop (1992)	 GoodFellas (1990)	 Everyone Says I Love You (1996)	 Heat (1995)
3 Ninjas: High Noon At Mega Mountain (1998)	 Princess Bride, The (1987)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Princess Bride, The (1987)	 3 Ninjas: High Noon At Mega Mountain (1998)
Hot Shots! Part Deux (1993)	 Brazil (1985)	 Raiders of the Lost Ark (1981)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)
Bringing Up Baby (1938)	 Return of the Jedi (1983)	 Princess Bride, The (1987)	 Maltese Falcon, The (1941)	 Die Hard (1988)
What's Eating Gilbert Grape (1993)	 Dances with Wolves (1990)	 Brazil (1985)	 What's Eating Gilbert Grape (1993)	 In & Out (1997)
Star Trek VI: The Undiscovered Country (1991)	 Four Weddings and a Funeral (1994)	 What's Eating Gilbert Grape (1993)	 Raiders of the Lost Ark (1981)	 It Happened One Night (1934)
Wes Craven's New Nightmare (1994)	 Ulee's Gold (1997)	 Sling Blade (1996)	 Brazil (1985)	 Apartment, The (1960)
Tales From the Crypt Presents: Demon Knight (1995)	 Lawnmower Man, The (1992)	 Mighty Aphrodite (1995)	 Clockwork Orange, A (1971)	 Ridicule (1996)

