44	 180	 804	 256	 124	 437
Spawn (1997)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Heat (1995)	 Legends of the Fall (1994)
Supercop (1992)	 Legends of the Fall (1994)	 Supercop (1992)	 Heat (1995)	 Mighty Aphrodite (1995)	 Heat (1995)
Clockwork Orange, A (1971)	 It Happened One Night (1934)	 Brazil (1985)	 It Happened One Night (1934)	 Brazil (1985)	 It Happened One Night (1934)
Cinema Paradiso (1988)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 Haunted World of Edward D. Wood Jr., The (1995)	 Apartment, The (1960)

82	 749	 777	 543	 536	 312
Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)
Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Cinema Paradiso (1988)
Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)
What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Jack (1996)
Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)
Supercop (1992)	 It Happened One Night (1934)	 Spawn (1997)	 It Happened One Night (1934)	 Supercop (1992)	 It Happened One Night (1934)
Heat (1995)	 Supercop (1992)	 It Happened One Night (1934)	 Heat (1995)	 Legends of the Fall (1994)	 Haunted World of Edward D. Wood Jr., The (1995)
It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Apartment, The (1960)	 Haunted World of Edward D. Wood Jr., The (1995)	 Trainspotting (1996)	 Spawn (1997)

48	 629	 539	 768	 861	 487
What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)
It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Jack (1996)	 Cinema Paradiso (1988)
Maltese Falcon, The (1941)	 Jack (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Jack (1996)
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)
Jack (1996)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
Clockwork Orange, A (1971)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
2001: A Space Odyssey (1968)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Supercop (1992)	 Heat (1995)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)
Supercop (1992)	 It Happened One Night (1934)	 It Happened One Night (1934)	 Local Hero (1983)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)
Spawn (1997)	 Cinema Paradiso (1988)	 Heat (1995)	 English Patient, The (1996)	 Supercop (1992)	 Heat (1995)
Trainspotting (1996)	 Supercop (1992)	 Legends of the Fall (1994)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Haunted World of Edward D. Wood Jr., The (1995)

239	 451	 373	 229	 601	 94
Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)
Jack (1996)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Jack (1996)
What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Mighty Aphrodite (1995)
Mighty Aphrodite (1995)	 Jack (1996)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)
Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)
Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Maltese Falcon, The (1941)	 Supercop (1992)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)
Cinema Paradiso (1988)	 It Happened One Night (1934)	 2001: A Space Odyssey (1968)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)
It Happened One Night (1934)	 Snow White and the Seven Dwarfs (1937)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Supercop (1992)	 Legends of the Fall (1994)
3 Ninjas: High Noon At Mega Mountain (1998)	 Haunted World of Edward D. Wood Jr., The (1995)	 Clockwork Orange, A (1971)	 Harold and Maude (1971)	 Heat (1995)	 Supercop (1992)
Heat (1995)	 Supercop (1992)	 Pump Up the Volume (1990)	 Pump Up the Volume (1990)	 Brazil (1985)	 Heat (1995)

87	 342	 28	 341	 375	 671
What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Everyone Says I Love You (1996)	 Jack (1996)	 Cinema Paradiso (1988)	 Jack (1996)
Jack (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Jack (1996)	 Maltese Falcon, The (1941)
Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)
It Happened One Night (1934)	 It Happened One Night (1934)	 Cinema Paradiso (1988)	 It Happened One Night (1934)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)
Supercop (1992)	 Supercop (1992)	 Heat (1995)	 Cinema Paradiso (1988)	 Haunted World of Edward D. Wood Jr., The (1995)	 Mighty Aphrodite (1995)
Cinema Paradiso (1988)	 Legends of the Fall (1994)	 2001: A Space Odyssey (1968)	 Supercop (1992)	 Legends of the Fall (1994)	 English Patient, The (1996)
Snow White and the Seven Dwarfs (1937)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 2001: A Space Odyssey (1968)	 Heat (1995)	 Heat (1995)
3 Ninjas: High Noon At Mega Mountain (1998)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Pump Up the Volume (1990)	 Spawn (1997)	 It Happened One Night (1934)	 It Happened One Night (1934)

860	 730	 71	 4	 334	 370
Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)
Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)
What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 It Happened One Night (1934)	 What's Eating Gilbert Grape (1993)
Cinema Paradiso (1988)	 It Happened One Night (1934)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)
Legends of the Fall (1994)	 Supercop (1992)	 Mighty Aphrodite (1995)	 Legends of the Fall (1994)	 Clockwork Orange, A (1971)	 Legends of the Fall (1994)
It Happened One Night (1934)	 Cinema Paradiso (1988)	 Heat (1995)	 Supercop (1992)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)
Supercop (1992)	 Harold and Maude (1971)	 Supercop (1992)	 It Happened One Night (1934)	 Supercop (1992)	 Heat (1995)
Heat (1995)	 Legends of the Fall (1994)	 Wings of Desire (1987)	 Pump Up the Volume (1990)	 Legends of the Fall (1994)	 Brazil (1985)

65	 547	 25	 413	 315	 283
Jack (1996)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 What's Eating Gilbert Grape (1993)
Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Jack (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)
What's Eating Gilbert Grape (1993)	 Jack (1996)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Jack (1996)
Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)
Mighty Aphrodite (1995)	 It Happened One Night (1934)	 2001: A Space Odyssey (1968)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)
Supercop (1992)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 It Happened One Night (1934)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)
It Happened One Night (1934)	 Clockwork Orange, A (1971)	 Legends of the Fall (1994)	 Legends of the Fall (1994)	 Heat (1995)	 It Happened One Night (1934)
Spawn (1997)	 Legends of the Fall (1994)	 Clockwork Orange, A (1971)	 Supercop (1992)	 Haunted World of Edward D. Wood Jr., The (1995)	 Supercop (1992)
Haunted World of Edward D. Wood Jr., The (1995)	 Heat (1995)	 Mighty Aphrodite (1995)	 Heat (1995)	 It Happened One Night (1934)	 3 Ninjas: High Noon At Mega Mountain (1998)

718	 329	 751	 843	 518	 545
Jack (1996)	 Jack (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)
Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)	 Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)
Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Maltese Falcon, The (1941)
Legends of the Fall (1994)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)
What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 What's Eating Gilbert Grape (1993)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)
Maltese Falcon, The (1941)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Legends of the Fall (1994)
Mighty Aphrodite (1995)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 It Happened One Night (1934)	 Legends of the Fall (1994)	 Cinema Paradiso (1988)
Snow White and the Seven Dwarfs (1937)	 Supercop (1992)	 Heat (1995)	 Clockwork Orange, A (1971)	 It Happened One Night (1934)	 Heat (1995)
Haunted World of Edward D. Wood Jr., The (1995)	 It Happened One Night (1934)	 Clockwork Orange, A (1971)	 Heat (1995)	 Heat (1995)	 Pump Up the Volume (1990)
Heat (1995)	 Snow White and the Seven Dwarfs (1937)	 It Happened One Night (1934)	 Spawn (1997)	 Supercop (1992)	 2001: A Space Odyssey (1968)

409	 890	 338	 557	 792	 215
Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 Everyone Says I Love You (1996)	 Jack (1996)	 Jack (1996)	 Maltese Falcon, The (1941)
Everyone Says I Love You (1996)	 Maltese Falcon, The (1941)	 What's Eating Gilbert Grape (1993)	 Everyone Says I Love You (1996)	 Everyone Says I Love You (1996)	 What's Eating Gilbert Grape (1993)
Jack (1996)	 Everyone Says I Love You (1996)	 Jack (1996)	 Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Jack (1996)
Maltese Falcon, The (1941)	 Jack (1996)	 Maltese Falcon, The (1941)	 Cinema Paradiso (1988)	 Maltese Falcon, The (1941)	 Everyone Says I Love You (1996)
What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)	 Maltese Falcon, The (1941)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)
Legends of the Fall (1994)	 What's Eating Gilbert Grape (1993)	 Cinema Paradiso (1988)	 Mighty Aphrodite (1995)	 Cinema Paradiso (1988)	 It Happened One Night (1934)
Cinema Paradiso (1988)	 Haunted World of Edward D. Wood Jr., The (1995)	 2001: A Space Odyssey (1968)	 What's Eating Gilbert Grape (1993)	 Legends of the Fall (1994)	 Mighty Aphrodite (1995)
3 Ninjas: High Noon At Mega Mountain (1998)	 Mighty Aphrodite (1995)	 It Happened One Night (1934)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 Supercop (1992)
2001: A Space Odyssey (1968)	 It Happened One Night (1934)	 Heat (1995)	 Heat (1995)	 Heat (1995)	 2001: A Space Odyssey (1968)
It Happened One Night (1934)	 Supercop (1992)	 3 Ninjas: High Noon At Mega Mountain (1998)	 It Happened One Night (1934)	 It Happened One Night (1934)	 English Patient, The (1996)

